Feature,Importance_Percentage
pm25_lag_1,79.3673484588777
hour_cos,4.137219004991464
pm25_lag_24,3.417391730807647
hour_sin,3.123725805968549
total_generation_mw,1.8556747868929722
month_sin,1.6108630645464612
temperature_2m (°C),1.4288648214783344
relative_humidity_2m (%),1.1124662426676575
pollution_stagnation_index,0.7988094913995585
wind_y_vector,0.6823393850093987
wind_x_vector,0.6640352752520143
wind_speed_10m (km/h),0.6153958697481716
month_cos,0.4618088510071911
wind_direction_10m (°),0.4561697802133508
rain (mm),0.26788743113953306
